Area;Year;Rate
Montana;2004;4,8
Nebraska;2004;3,9
Nevada;2004;4,3
New Hampshire;2004;3,8
New Jersey;2004;4,8
New Mexico;2004;5,5
New York;2004;5,8
North Carolina;2004;5,5
North Dakota;2004;3,4
Ohio;2004;6,3
Oklahoma;2004;4,9
Oregon;2004;7,3
Pennsylvania;2004;5,4
Rhode Island;2004;5,2
South Carolina;2004;6,8
South Dakota;2004;3,7
Tennessee;2004;5,3
Texas;2004;5,9
Utah;2004;5,0
Vermont;2004;3,7
Virginia;2004;3,8
Washington;2004;6,3
West Virginia;2004;5,3
Wisconsin;2004;5,0
Wyoming;2004;3,8
United States;2005;5,1
Alabama;2005;4,5
Alaska;2005;6,9
Arizona;2005;4,7
Arkansas;2005;5,2
California;2005;5,4
Colorado;2005;5,0
Connecticut;2005;4,9
Delaware;2005;4,1
District of Columbia;2005;6,4
Florida;2005;3,7
Georgia;2005;5,3
Hawaii;2005;2,9
Idaho;2005;4,0
Illinois;2005;5,7
Indiana;2005;5,5
Iowa;2005;4,3
Kansas;2005;5,0
Kentucky;2005;5,9
Louisiana;2005;7,2
Maine;2005;4,9
Maryland;2005;4,1
Massachusetts;2005;4,8
Michigan;2005;6,8
Minnesota;2005;4,1
Mississippi;2005;7,5
Missouri;2005;5,4
Montana;2005;4,4
Nebraska;2005;3,8
Nevada;2005;4,1
New Hampshire;2005;3,6
New Jersey;2005;4,5
New Mexico;2005;5,1
New York;2005;5,0
North Carolina;2005;5,2
North Dakota;2005;3,4
Ohio;2005;5,9
Oklahoma;2005;4,5
Oregon;2005;6,2
Pennsylvania;2005;5,0
Rhode Island;2005;5,0
South Carolina;2005;6,7
South Dakota;2005;3,8
Tennessee;2005;5,6
Texas;2005;5,4
Utah;2005;4,1
Vermont;2005;3,5
Virginia;2005;3,6
Washington;2005;5,6
West Virginia;2005;5,1
Wisconsin;2005;4,7
Wyoming;2005;3,6
United States;2006;4,6
Alabama;2006;4,0
Alaska;2006;6,6
Arizona;2006;4,2
Arkansas;2006;5,2
California;2006;4,9
Colorado;2006;4,3
Connecticut;2006;4,3
Delaware;2006;3,6
District of Columbia;2006;5,8
Florida;2006;3,2
Georgia;2006;4,7
Hawaii;2006;2,6
Idaho;2006;3,5
Illinois;2006;4,5
Indiana;2006;5,0
Iowa;2006;3,7
Kansas;2006;4,4
Kentucky;2006;5,7
Louisiana;2006;4,5
Maine;2006;4,6
Maryland;2006;3,9
Massachusetts;2006;4,9
Michigan;2006;7,0
Minnesota;2006;4,0
Mississippi;2006;6,5
Missouri;2006;4,8
Montana;2006;3,5
Nebraska;2006;3,1
Nevada;2006;4,0
New Hampshire;2006;3,4
New Jersey;2006;4,7
New Mexico;2006;4,2
New York;2006;4,5
North Carolina;2006;4,7
North Dakota;2006;3,2
Ohio;2006;5,4
Oklahoma;2006;4,0
Oregon;2006;5,3
Pennsylvania;2006;4,6
Rhode Island;2006;4,9
South Carolina;2006;6,4
South Dakota;2006;3,1
Tennessee;2006;5,2
Texas;2006;4,9
Utah;2006;3,0
Vermont;2006;3,7
Virginia;2006;3,1
Washington;2006;5,0
West Virginia;2006;4,9
Wisconsin;2006;4,7
Wyoming;2006;3,2
United States;2007;4,6
Alabama;2007;4,0
Alaska;2007;6,3
Arizona;2007;3,9
Arkansas;2007;5,3
California;2007;5,4
Colorado;2007;3,7
Connecticut;2007;4,5
Delaware;2007;3,4
District of Columbia;2007;5,5
Florida;2007;4,0
Georgia;2007;4,5
Hawaii;2007;2,8
Idaho;2007;3,1
Illinois;2007;5,0
Indiana;2007;4,6
Iowa;2007;3,7
Kansas;2007;4,2
Kentucky;2007;5,4
Louisiana;2007;4,3
Maine;2007;4,7
Maryland;2007;3,5
Massachusetts;2007;4,6
Michigan;2007;7,0
Minnesota;2007;4,6
Mississippi;2007;6,1
Missouri;2007;5,1
Montana;2007;3,6
Nebraska;2007;3,0
Nevada;2007;4,5
New Hampshire;2007;3,5
New Jersey;2007;4,3
New Mexico;2007;3,8
New York;2007;4,6
North Carolina;2007;4,7
North Dakota;2007;3,1
Ohio;2007;5,6
Oklahoma;2007;4,1
Oregon;2007;5,2
Pennsylvania;2007;4,4
Rhode Island;2007;5,2
South Carolina;2007;5,7
South Dakota;2007;2,8
Tennessee;2007;4,7
Texas;2007;4,3
Utah;2007;2,6
Vermont;2007;4,0
Virginia;2007;3,0
Washington;2007;4,7
West Virginia;2007;4,6
Wisconsin;2007;4,9
Wyoming;2007;2,8
United States;2008;5,8
Alabama;2008;5,7
Alaska;2008;6,7
Arizona;2008;6,2
Arkansas;2008;5,5
California;2008;7,3
Colorado;2008;4,8
Connecticut;2008;5,7
Delaware;2008;4,9
District of Columbia;2008;6,5
Florida;2008;6,3
Georgia;2008;6,2
Hawaii;2008;4,3
Idaho;2008;5,1
Illinois;2008;6,3
Indiana;2008;5,9
Iowa;2008;4,2
Kansas;2008;4,6
Kentucky;2008;6,4
Louisiana;2008;4,9
Maine;2008;5,5
Maryland;2008;4,2
Massachusetts;2008;5,5
Michigan;2008;8,0
Minnesota;2008;5,4
Mississippi;2008;6,6
Missouri;2008;6,1
Montana;2008;5,1
Nebraska;2008;3,3
Nevada;2008;6,7
New Hampshire;2008;3,9
New Jersey;2008;5,3
New Mexico;2008;4,5
New York;2008;5,4
North Carolina;2008;6,1
North Dakota;2008;3,2
Ohio;2008;6,4
Oklahoma;2008;3,7
Oregon;2008;6,5
Pennsylvania;2008;5,3
Rhode Island;2008;7,8
South Carolina;2008;6,8
South Dakota;2008;3,1
Tennessee;2008;6,6
Texas;2008;4,8
Utah;2008;3,6
Vermont;2008;4,7
Virginia;2008;3,9
Washington;2008;5,4
West Virginia;2008;4,3
Wisconsin;2008;4,9
Wyoming;2008;3,1
United States;2009;9,3
Alabama;2009;11,0
Alaska;2009;7,7
Arizona;2009;9,9
Arkansas;2009;7,8
California;2009;11,2
Colorado;2009;7,3
Connecticut;2009;7,9
Delaware;2009;8,3
District of Columbia;2009;9,3
Florida;2009;10,4
Georgia;2009;9,9
Hawaii;2009;7,2
Idaho;2009;8,8
Illinois;2009;10,2
Indiana;2009;10,3
Iowa;2009;6,4
Kansas;2009;6,9
Kentucky;2009;10,3
Louisiana;2009;6,8
Maine;2009;8,1
Maryland;2009;7,0
Massachusetts;2009;8,1
Michigan;2009;13,7
Minnesota;2009;7,8
Mississippi;2009;9,5
Missouri;2009;9,3
Montana;2009;6,8
Nebraska;2009;4,6
Nevada;2009;11,3
New Hampshire;2009;6,2
New Jersey;2009;9,1
New Mexico;2009;7,5
New York;2009;8,3
North Carolina;2009;10,6
North Dakota;2009;4,1
Ohio;2009;10,3
Oklahoma;2009;6,4
Oregon;2009;11,3
Pennsylvania;2009;8,0
Rhode Island;2009;11,0
South Carolina;2009;11,2
South Dakota;2009;4,9
Tennessee;2009;10,5
Texas;2009;7,6
Utah;2009;7,3
Vermont;2009;6,6
Virginia;2009;6,7
Washington;2009;9,2
West Virginia;2009;7,7
Wisconsin;2009;8,6
Wyoming;2009;6,3
United States;2010;9,6
Alabama;2010;10,5
Alaska;2010;7,9
Arizona;2010;10,4
Arkansas;2010;8,2
California;2010;12,2
Colorado;2010;8,7
Connecticut;2010;9,1
Delaware;2010;8,4
District of Columbia;2010;9,4
Florida;2010;11,1
Georgia;2010;10,5
Hawaii;2010;6,9
Idaho;2010;9,0
Illinois;2010;10,4
Indiana;2010;10,4
Iowa;2010;6,0
Kansas;2010;7,1
Kentucky;2010;10,2
Louisiana;2010;8,0
Maine;2010;8,1
Maryland;2010;7,7
Massachusetts;2010;8,3
Michigan;2010;12,6
Minnesota;2010;7,4
Mississippi;2010;10,4
Missouri;2010;9,6
Montana;2010;7,3
Nebraska;2010;4,6
Nevada;2010;13,5
New Hampshire;2010;5,8
New Jersey;2010;9,5
New Mexico;2010;8,1
New York;2010;8,6
North Carolina;2010;10,9
North Dakota;2010;3,8
Ohio;2010;10,3
Oklahoma;2010;6,8
Oregon;2010;10,6
Pennsylvania;2010;8,5
Rhode Island;2010;11,2
South Carolina;2010;11,2
South Dakota;2010;5,0
Tennessee;2010;9,7
Texas;2010;8,1
Utah;2010;7,8
Vermont;2010;6,1
Virginia;2010;7,1
Washington;2010;10,0
West Virginia;2010;8,7
Wisconsin;2010;8,7
Wyoming;2010;6,4
United States;2011;8,9
Alabama;2011;9,6
Alaska;2011;7,6
Arizona;2011;9,5
Arkansas;2011;8,3
California;2011;11,7
Colorado;2011;8,4
Connecticut;2011;8,8
Delaware;2011;7,5
District of Columbia;2011;10,2
Florida;2011;10,0
Georgia;2011;10,2
Hawaii;2011;6,8
Idaho;2011;8,3
Illinois;2011;9,7
Indiana;2011;9,1
Iowa;2011;5,5
Kansas;2011;6,5
Kentucky;2011;9,4
Louisiana;2011;7,8
Maine;2011;7,9
Maryland;2011;7,2
Massachusetts;2011;7,3
Michigan;2011;10,4
Minnesota;2011;6,5
Mississippi;2011;10,0
Missouri;2011;8,5
Montana;2011;6,9
Nebraska;2011;4,4
Nevada;2011;13,0
New Hampshire;2011;5,4
New Jersey;2011;9,3
New Mexico;2011;7,5
New York;2011;8,3
North Carolina;2011;10,3
North Dakota;2011;3,5
Ohio;2011;8,8
Oklahoma;2011;5,9
Oregon;2011;9,5
Pennsylvania;2011;7,9
Rhode Island;2011;11,0
South Carolina;2011;10,6
South Dakota;2011;4,7
Tennessee;2011;9,0
Texas;2011;7,8
Utah;2011;6,7
Vermont;2011;5,5
Virginia;2011;6,6
Washington;2011;9,3
West Virginia;2011;8,1
Wisconsin;2011;7,8
Wyoming;2011;5,8
United States;2012;8,1
Alabama;2012;8,0
Alaska;2012;7,1
Arizona;2012;8,3
Arkansas;2012;7,6
California;2012;10,4
Colorado;2012;7,9
Connecticut;2012;8,3
Delaware;2012;7,2
District of Columbia;2012;9,0
Florida;2012;8,5
Georgia;2012;9,2
Hawaii;2012;6,0
Idaho;2012;7,2
Illinois;2012;9,0
Indiana;2012;8,3
Iowa;2012;5,0
Kansas;2012;5,7
Kentucky;2012;8,2
Louisiana;2012;7,1
Maine;2012;7,5
Maryland;2012;7,0
Massachusetts;2012;6,7
Michigan;2012;9,1
Minnesota;2012;5,6
Mississippi;2012;9,0
Missouri;2012;6,9
Montana;2012;6,0
Nebraska;2012;4,0
Nevada;2012;11,2
New Hampshire;2012;5,5
New Jersey;2012;9,3
New Mexico;2012;7,1
New York;2012;8,5
North Carolina;2012;9,3
North Dakota;2012;3,1
Ohio;2012;7,4
Oklahoma;2012;5,2
Oregon;2012;8,8
Pennsylvania;2012;7,8
Rhode Island;2012;10,4
South Carolina;2012;9,2
South Dakota;2012;4,3
Tennessee;2012;7,8
Texas;2012;6,7
Utah;2012;5,4
Vermont;2012;5,0
Virginia;2012;6,1
Washington;2012;8,1
West Virginia;2012;7,5
Wisconsin;2012;7,0
Wyoming;2012;5,3
United States;2013;7,4
Alabama;2013;7,2
Alaska;2013;7,0
Arizona;2013;7,7
Arkansas;2013;7,2
California;2013;8,9
Colorado;2013;6,9
Connecticut;2013;7,8
Delaware;2013;6,7
District of Columbia;2013;8,5
Florida;2013;7,2
Georgia;2013;8,2
Hawaii;2013;4,9
Idaho;2013;6,1
Illinois;2013;9,0
Indiana;2013;7,7
Iowa;2013;4,7
Kansas;2013;5,3
Kentucky;2013;8,0
Louisiana;2013;6,7
Maine;2013;6,6
Maryland;2013;6,6
Massachusetts;2013;6,7
Michigan;2013;8,8
Minnesota;2013;5,0
Mississippi;2013;8,5
Missouri;2013;6,7
Montana;2013;5,4
Nebraska;2013;3,8
Nevada;2013;9,6
New Hampshire;2013;5,1
New Jersey;2013;8,2
New Mexico;2013;6,9
New York;2013;7,7
North Carolina;2013;8,0
North Dakota;2013;2,9
Ohio;2013;7,5
Oklahoma;2013;5,3
Oregon;2013;7,9
Pennsylvania;2013;7,4
Rhode Island;2013;9,3
South Carolina;2013;7,6
South Dakota;2013;3,8
Tennessee;2013;7,8
Texas;2013;6,3
Utah;2013;4,6
Vermont;2013;4,4
Virginia;2013;5,7
Washington;2013;7,0
West Virginia;2013;6,8
Wisconsin;2013;6,7
Wyoming;2013;4,7
United States;2014;6,2
Alabama;2014;6,8
Alaska;2014;6,9
Arizona;2014;6,8
Arkansas;2014;6,0
California;2014;7,5
Colorado;2014;5,0
Connecticut;2014;6,6
Delaware;2014;5,7
District of Columbia;2014;7,8
Florida;2014;6,3
Georgia;2014;7,1
Hawaii;2014;4,4
Idaho;2014;4,8
Illinois;2014;7,1
Indiana;2014;6,0
Iowa;2014;4,2
Kansas;2014;4,5
Kentucky;2014;6,5
Louisiana;2014;6,4
Maine;2014;5,6
Maryland;2014;5,8
Massachusetts;2014;5,7
Michigan;2014;7,2
Minnesota;2014;4,2
Mississippi;2014;7,5
Missouri;2014;6,1
Montana;2014;4,7
Nebraska;2014;3,3
Nevada;2014;7,9
New Hampshire;2014;4,3
New Jersey;2014;6,8
New Mexico;2014;6,7
New York;2014;6,3
North Carolina;2014;6,3
North Dakota;2014;2,7
Ohio;2014;5,8
Oklahoma;2014;4,5
Oregon;2014;6,8
Pennsylvania;2014;5,9
Rhode Island;2014;7,7
South Carolina;2014;6,5
South Dakota;2014;3,4
Tennessee;2014;6,6
Texas;2014;5,1
Utah;2014;3,8
Vermont;2014;3,9
Virginia;2014;5,2
Washington;2014;6,1
West Virginia;2014;6,6
Wisconsin;2014;5,4
Wyoming;2014;4,1
United States;2015;5,3
Alabama;2015;6,1
Alaska;2015;6,5
Arizona;2015;6,1
Arkansas;2015;5,0
California;2015;6,2
Colorado;2015;3,9
Connecticut;2015;5,7
Delaware;2015;4,9
District of Columbia;2015;6,9
Florida;2015;5,5
Georgia;2015;6,0
Hawaii;2015;3,6
Idaho;2015;4,2
Illinois;2015;6,0
Indiana;2015;4,8
Iowa;2015;3,8
Kansas;2015;4,2
Kentucky;2015;5,3
Louisiana;2015;6,3
Maine;2015;4,4
Maryland;2015;5,1
Massachusetts;2015;4,8
Michigan;2015;5,4
Minnesota;2015;3,7
Mississippi;2015;6,4
Missouri;2015;5,0
Montana;2015;4,2
Nebraska;2015;3,0
Nevada;2015;6,8
New Hampshire;2015;3,4
New Jersey;2015;5,8
New Mexico;2015;6,5
New York;2015;5,3
North Carolina;2015;5,7
North Dakota;2015;2,8
Ohio;2015;4,9
Oklahoma;2015;4,4
Oregon;2015;5,6
Pennsylvania;2015;5,3
Rhode Island;2015;6,0
South Carolina;2015;6,0
South Dakota;2015;3,1
Tennessee;2015;5,6
Texas;2015;4,4
Utah;2015;3,6
Vermont;2015;3,6
Virginia;2015;4,5
Washington;2015;5,6
West Virginia;2015;6,7
Wisconsin;2015;4,6
Wyoming;2015;4,3
United States;2016;4,9
Alabama;2016;5,8
Alaska;2016;6,9
Arizona;2016;5,4
Arkansas;2016;4,0
California;2016;5,5
Colorado;2016;3,2
Connecticut;2016;5,1
Delaware;2016;4,5
District of Columbia;2016;6,1
Florida;2016;4,8
Georgia;2016;5,4
Hawaii;2016;3,0
Idaho;2016;3,8
Illinois;2016;5,8
Indiana;2016;4,4
Iowa;2016;3,6
Kansas;2016;4,0
Kentucky;2016;5,1
Louisiana;2016;6,1
Maine;2016;3,8
Maryland;2016;4,5
Massachusetts;2016;3,9
Michigan;2016;5,0
Minnesota;2016;3,9
Mississippi;2016;5,8
Missouri;2016;4,6
Montana;2016;4,1
Nebraska;2016;3,1
Nevada;2016;5,7
New Hampshire;2016;2,9
New Jersey;2016;5,0
New Mexico;2016;6,6
New York;2016;4,9
North Carolina;2016;5,1
North Dakota;2016;3,1
Ohio;2016;5,0
Oklahoma;2016;4,8
Oregon;2016;4,8
Pennsylvania;2016;5,4
Rhode Island;2016;5,2
South Carolina;2016;5,0
South Dakota;2016;3,0
Tennessee;2016;4,7
Texas;2016;4,6
Utah;2016;3,4
Vermont;2016;3,2
Virginia;2016;4,1
Washington;2016;5,3
West Virginia;2016;6,1
Wisconsin;2016;4,0
Wyoming;2016;5,3
